time_s,ecg,ppg
0,0.004682925,-59.37
0.015625,6.940530647063468e-05,-53.42
0.03125,-0.009166447,-44.4
0.046875,0.046841411,-33.17
0.0625,0.061592771851042595,-20.79
0.078125,0.043840274825122705,-8.33
0.09375,0.089494149,3.4
0.109375,0.1368301895349117,13.85
0.125,0.077106229,22.76
0.140625,0.033031093215248226,30.04
0.15625,-0.042250595,35.71
0.171875,-0.055830842,39.81
0.1875,-0.054416505,42.43
0.203125,0.063851427,43.77
0.21875,0.525581371,44.12
0.234375,0.5823642969780728,43.9
0.25,0.10096392176180878,43.5
0.265625,-0.154127947,43.22
0.28125,-0.253257798,43.1
0.296875,-0.216278448,43.05
0.3125,-0.216252581,42.9
0.328125,-0.194376757,42.58
0.34375,-0.170671818,42.25
0.359375,-0.156990317,42.21
0.375,-0.141108989,42.79
0.390625,-0.135838559,44.12
0.40625,-0.178287612,46.13
0.421875,-0.17168963,48.48
0.4375,-0.165947338,50.7
0.453125,-0.133711161,52.4
0.46875,-0.090153786,53.37
0.484375,0.021815846923079574,53.68
0.5,0.052478703,53.56
0.515625,0.076151596,53.36
0.53125,0.056009946,53.32
0.546875,0.061444719562518554,53.52
0.5625,-0.053312391,53.88
0.578125,0.062732185,54.25
0.59375,0.10419170199637215,54.59
0.609375,-0.074542771,54.88
0.625,-0.081904476,55.15
0.640625,-0.014803727,55.33
0.65625,0.10085065069864466,55.32
0.671875,0.077255416,55.03
0.6875,0.029697037391080646,54.55
0.703125,0.017913817,54.19
0.71875,0.044832741,54.22
0.734375,0.072885223,54.59
0.75,0.066038663,54.64
0.765625,0.060531517496811835,53.37
0.78125,0.049691902,49.88
0.796875,0.049731248180903485,44.23
0.8125,0.028017514676636053,37.73
0.828125,0.027453414355658602,32.59
0.84375,0.055438051,30.78
0.859375,0.11280651028812069,32.82
0.875,0.14656196595569945,37.27
0.890625,0.12709827862597092,41.02
0.90625,0.002071711,40.15
0.921875,-0.043661375,31.22
0.9375,-0.066488505,12.44
0.953125,-0.070160369,-15.61
0.96875,-0.047121917,-49.89
0.984375,0.29050889210393055,-85.51
1,0.63477751,-117.88
1.015625,0.20934234043247021,-144.38
1.03125,-0.133508893,-165.8
1.046875,-0.244389657,-185.32
1.0625,-0.261479115,-206.43
1.078125,-0.283747384,-230.63
1.09375,-0.272302572,-256.52
1.109375,-0.250292697,-280.52
1.125,-0.223653314,-297.91
1.140625,-0.230334283,-304.69
1.15625,-0.263692865,-297.46
1.171875,-0.244946735,-274.22
1.1875,-0.272960513,-234.68
1.203125,-0.269132298,-181.19
1.21875,-0.267228777,-119.74
1.234375,-0.217924119,-60.02
1.25,-0.178286912,-12.81
1.265625,-0.084631383,15.15
1.28125,-0.045337601,23.55
1.296875,-0.177950624,19.49
1.3125,-0.173202752,12.59
1.328125,-0.184446859,10.5
1.34375,-0.109304598,16.04
1.359375,-0.096670899,27.47
1.375,-0.132490666,40.7
1.390625,-0.141296967,52.06
1.40625,-0.140992796,61.33
1.421875,-0.125274471,69.35
1.4375,-0.159407508,77.79
1.453125,-0.145453048,85.42
1.46875,-0.169849085,87.91
1.484375,-0.160705495,79.74
1.5,-0.170089885,56.72
1.515625,-0.192968106,17.71
1.53125,-0.165266376,-35.4
1.546875,-0.180337046,-96.79
1.5625,-0.162640805,-161.69
1.578125,-0.154008834,-216.81
1.59375,-0.073989335,-249.49
1.609375,-0.073993462,-255.46
1.625,-0.119405091,-241.34
1.640625,-0.187819823,-217.07
1.65625,-0.253977663,-188.54
1.671875,-0.250683428,-165.25
1.6875,-0.24076174,-142.72
1.703125,-0.082951258,-118.75
1.71875,0.3602156640835349,-93.33
1.734375,0.33862525123804155,-68.43
1.75,-0.150270885,-45.67
1.765625,-0.337614661,-23.6
1.78125,-0.427710003,0.08
1.796875,-0.386568995,27.89
1.8125,-0.375908183,61.07
1.828125,-0.368391258,101.09
1.84375,-0.347809267,147.8
1.859375,-0.325629757,201.65
